time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,2,1,19,14
2026-01-21 00:00:00+00:00,1,1,32,22
2026-01-22 00:00:00+00:00,1,1,39,11
2026-01-23 00:00:00+00:00,0,0,7,4
2026-01-24 00:00:00+00:00,0,0,5,4
2026-01-25 00:00:00+00:00,0,0,4,4
2026-01-26 00:00:00+00:00,1,1,10,10
2026-01-27 00:00:00+00:00,2,2,30,16
2026-01-28 00:00:00+00:00,0,0,18,12
2026-01-29 00:00:00+00:00,1,1,11,10
2026-01-30 00:00:00+00:00,2,2,32,15
2026-01-31 00:00:00+00:00,1,1,3,2
2026-02-01 00:00:00+00:00,0,0,6,4
2026-02-02 00:00:00+00:00,0,0,21,12
2026-02-03 00:00:00+00:00,1,1,63,15
2026-02-04 00:00:00+00:00,30,13,27,16
2026-02-05 00:00:00+00:00,132,62,16,12
2026-02-06 00:00:00+00:00,3,3,26,10
2026-02-07 00:00:00+00:00,0,0,32,7
2026-02-08 00:00:00+00:00,0,0,2,2
2026-02-09 00:00:00+00:00,1,1,9,7
2026-02-10 00:00:00+00:00,3,3,18,7
2026-02-11 00:00:00+00:00,0,0,13,7
2026-02-12 00:00:00+00:00,1,1,4,4
2026-02-13 00:00:00+00:00,1,1,6,4
